"WMO post","Years of observation","Lat","Lon","Thunderstorm days per year","Data completeness"
"Kem'",7,64.95,34.65,1.71428571428571,92
"Rankin Inlet, N. W. T. ",20,62.816683,-92.116669,1.7,100
"Forde-Tefre",18,61.4666666666667,5.91666666666667,1.66666666666667,81
"Holmogadd",9,63.6,20.7666666666667,1.66666666666667,89
"Myken ",20,66.750015,12.483343,1.65,98
"Vardo ",20,70.366674,31.100002,1.65,97
"Hoylandet-Drag.",8,64.55,12.15,1.625,72
"Maresale ",20,69.716681,66.800016,1.5,98
"Kuopio ",16,63.016667,27.800016,1.4375,91
"Saltdal-Nordnes ",16,66.933352,15.300006,1.4375,86
"Kem'- Port",7,64.9833333333333,34.8,1.42857142857143,92
"Kirkenes Lufthavn ",20,69.733348,29.900018,1.4,96
"Lulea / Kallax ",20,65.550011,22.133336,1.4,97
"TED STEVENS ANCHORAGE INTL",20,61.169,-150.028,1.4,100
"Morzhovec",11,66.7166666666667,42.4833333333333,1.36363636363636,68
"Katterjakk",20,68.4166666666667,18.1666666666667,1.3,76
"Novy Port ",14,67.683347,72.866684,1.28571428571429,68
"Markovo ",15,64.683347,170.416675,1.26666666666667,100
"Varntresk ",19,65.816683,14.183337,1.26315789473684,85
"Ahtari ",20,62.533344,24.216671,1.25,95
"Kalgachikha",12,63.3333333333333,36.7333333333333,1.25,57
"Andryushkino ",9,69.16667,154.50001,1.22222222222222,92
"Mys Mikulkin",19,67.8,46.6666666666667,1.21052631578947,93
"Ust'- Oloj",17,66.55,159.416666666667,1.17647058823529,91
"Brata ",20,61.900018,7.866684,1.15,97
"Hoseda-Hard",17,67.0333333333333,59.4,1.11764705882353,95
"Bulken ",10,60.633346,6.216671,1.1,86
"Sejaha ",10,70.16667,72.516677,1.1,80
"Kellog ",13,62.483343,86.266672,1.07692307692308,97
"Alta Lufthavn ",20,69.983353,23.366674,1.05,98
"Ilirnej ",20,67.250005,167.966686,1.05,100
"Ostersund / Froson ",20,63.183337,14.50001,1.05,97
"Cambridge Bay A, Nu ",20,69.100002,-105.133336,1,100
"Saskylah ",20,71.966686,114.083335,1,99
"WATSON LAKE",20,60.116,-128.823,1,99
"BETHEL AIRPORT",20,60.785,-161.829,0.95,100
"DELINE",20,65.211,-123.436,0.95,88
"PALMER MUNICIPAL AIRPORT",20,61.596,-149.092,0.95,99
"Vestmannaeyjar ",20,63.400008,-20.283339,0.95,96
"Svyatoj Nos",12,68.15,39.75,0.916666666666667,54
"Muhomornoje ",11,66.383341,173.350007,0.909090909090909,98
"Reykjavik ",20,64.133336,-21.933352,0.9,100
"Svinoy Fyr ",20,62.33334,5.266672,0.9,95
"Banak ",19,70.066668,24.983353,0.894736842105263,93
"Filefjell ",16,61.16667,8.100002,0.875,90
"Kevo ",8,69.750015,27.033334,0.875,100
"Volochanka",7,70.9666666666667,94.5,0.857142857142857,54
"Keflavikurflugvollur ",20,63.966686,-22.600012,0.85,100
"Laerdal-Tonjum ",20,61.066668,7.516677,0.85,93
"Skrova Fyr ",20,68.150003,14.650013,0.85,97
"Pello ",18,66.800016,24,0.833333333333333,94
"Kashkarantsy ",11,66.33334,36.016667,0.818181818181818,54
"Anadyr' ",20,64.783349,177.566678,0.8,100
"Lappeenranta ",20,61.033334,28.133336,0.8,94
"Tromso / Langnes ",20,69.683347,18.916685,0.8,95
"Vidsel ",20,65.866684,20.133336,0.8,92
"FARO",20,62.208,-133.376,0.75,98
"Gremikha Bay",12,68.05,39.5,0.75,54
"M.K.(MUDHOLE) SMITH ARPT",20,60.489,-145.451,0.75,100
"NOME AIRPORT",20,64.511,-165.44,0.75,100
"Sorkjosen ",15,69.783349,20.966686,0.733333333333333,93
"Akurnes ",20,64.300006,-15.216671,0.7,97
"Chokurdah ",20,70.616679,147.883351,0.7,99
"Coral Harbour, N. W. T. ",20,64.200004,-83.366674,0.7,100
"Im. M. V. Popova ",20,73.33334,70.050001,0.7,100
"Jubilejnaja ",20,70.766682,136.216671,0.7,98
"Kanin Nos ",20,68.650013,43.300006,0.7,100
"Malye Karmakuly ",20,72.366674,52.700014,0.7,98
"TALKEETNA AIRPORT",20,62.32,-150.095,0.7,99
"Buholmrasa Fyr ",16,64.400008,10.450009,0.6875,95
"FORT LIARD",20,60.233,-123.483,0.65,88
"Halten Fyr ",20,64.16667,9.416675,0.65,92
"Kirkjubaejarklaustur ",20,63.783349,-18.066668,0.65,95
"Tafjord ",20,62.233338,7.416675,0.65,96
"FORT YUKON AIRPORT",16,66.567,-145.267,0.625,92
"Egvekinot ",13,66.350007,-179.116669,0.615384615384615,100
"Sella Ness",13,60.45,-1.26666666666667,0.615384615384615,83
"DAWSON CITY",20,64.043,-139.128,0.6,97
"Valassaaret ",20,63.433342,21.066668,0.6,97
"TESLIN",18,60.173,-132.743,0.555555555555556,61
"Bjornoya ",20,74.516677,19.016667,0.55,96
"FORT GOOD HOPE",20,66.241,-128.651,0.55,100
"Ostrov Dikson ",20,73.50001,80.400008,0.55,100
"SHINGLE POINT",19,68.95,-137.22,0.473684210526316,80
"Antipajuta ",11,69.100002,76.850017,0.454545454545455,98
"MERRILL FIELD AIRPORT",20,61.217,-149.855,0.45,100
"Im.yu.a. Habarova ",9,72.400008,126.350007,0.444444444444444,92
"Bykov (Mys) ",10,72,129.116669,0.4,92
"Nord-Solvaer ",20,66.400008,12.616679,0.4,89
"Verhnee Penzino",13,64.2166666666667,164.233333333333,0.384615384615385,90
"Mys Sterlegova ",11,75.400008,88.900018,0.363636363636364,68
"Ust'-Olenek ",11,73,119.866684,0.363636363636364,92
"FORT MCPHERSON",20,67.408,-134.861,0.35,99
"Hailuoto Keskikyla ",20,65.016667,24.716681,0.35,99
"Makkaur Fyr ",20,70.700014,30.083335,0.35,92
"RALPH WIEN MEMORIAL AIRPORT",20,66.867,-162.633,0.35,100
"Sletnes Fyr ",20,71.083335,28.233338,0.35,95
"WRIGLEY",20,63.209,-123.437,0.35,100
"Kedon",6,64,158.916666666667,0.333333333333333,82
"Lappeenranta Hiekkapakka ",9,61.183337,28.466676,0.333333333333333,100
"DEADHORSE AIRPORT",20,70.192,-148.477,0.3,100
"FORT RESOLUTION",20,61.181,-113.69,0.3,95
"KENAI MUNICIPAL AIRPORT",20,60.58,-151.239,0.3,100
"Mikkeli Airport ",20,61.683347,27.200004,0.3,100
"Nordoyan Fyr ",20,64.800016,10.550011,0.3,93
"Ona Ii ",20,62.866684,6.533344,0.3,95
"PAULATUK",20,69.361,-124.059,0.3,95
"Sklinna Fyr ",20,65.200004,11,0.3,92
"Ytteroyane Fyr ",20,61.566678,4.683347,0.3,92
"Eyrarbakki ",18,63.866684,-21.150003,0.277777777777778,71
"Cape Bolvanskij ",12,70.450009,59.066668,0.25,80
"Torsvag Fyr ",20,70.250005,19.50001,0.25,93
"Korf",13,60.35,166,0.230769230769231,95
"TUKTOYAKTUK",13,69.433,-133.026,0.230769230769231,88
"Aalesund",14,62.4666666666667,6.2,0.214285714285714,82
"Skalmen Fyr",14,63.4666666666667,7.75,0.214285714285714,82
"HAT ISLAND",19,68.32,-100.08,0.210526315789474,85
"Ajon ",10,69.916685,167.966686,0.2,100
"BEAVER CREEK ARPT",20,62.417,-140.867,0.2,95
"Hekkingen Fyr ",20,69.600012,17.83335,0.2,93
"Kamenskoe",10,62.4333333333333,166.083333333333,0.2,56
"Ostrov Kotel'Nyj ",20,76,137.866684,0.2,98
"Bugrino ",11,68.766682,49.300006,0.181818181818182,56
"Apuka ",18,60.433342,169.66668,0.166666666666667,93
"Mjolfjell ",18,60.700014,6.933352,0.166666666666667,90
"Rana-Basmoen",6,66.3333333333333,14.1,0.166666666666667,59
"FORT NORMAN AIRPORT",20,64.917,-125.567,0.15,99
"Grimsstadir ",20,65.633346,-16.116669,0.15,60
"INUVIK MIKE ZUBKO",20,68.304,-133.483,0.15,99
"Resolute, N. W. T. ",20,74.716681,-94.983353,0.15,100
"Sula ",20,63.850017,8.466676,0.15,97
"Hopen ",14,76.50001,25,0.142857142857143,100
"Beringovskaja",16,63.0166666666667,179.283333333333,0.125,92
"Nodreisa-Oyeng",8,69.7333333333333,21.0166666666667,0.125,58
"Chaun ",9,68.883351,170.783349,0.111111111111111,67
"Yanov-Stan",9,65.9666666666667,84.3166666666667,0.111111111111111,88
"Cemurnaut",10,60.8666666666667,163.633333333333,0.1,95
"Chemurnaut",10,60.7333333333333,163.016666666667,0.1,95
"Izvestij Tsik ",10,75.950019,82.933352,0.1,71
"Kuusamo Airport ",20,65.983353,29.216671,0.1,91
"Svalbard Lufthavn ",20,78.250005,15.466676,0.1,95
"Rost Ii",11,67.5,12.0833333333333,0.0909090909090909,71
"Koljmskaja ",13,68.733348,158.733348,0.0769230769230769,52
"Mys Uelen ",13,66.150003,-169.83335,0.0769230769230769,100
"Ostrov Vize ",13,79.50001,76.983353,0.0769230769230769,100
"Polargmo Im. E. T. Krenkelja ",13,80.616679,58.050001,0.0769230769230769,100
"Floro ",15,61.583345,5.033334,0.0666666666666667,67
"Marstein ",16,62.433342,7.83335,0.0625,87
"Mys Shmidta",17,68.9,-179.366666666667,0.0588235294117647,93
"Bergstadir",19,65.7,-19.6166666666667,0.0526315789473684,81
"AKLAVIK",20,68.223,-135.006,0.05,99
"Bolungavik ",20,66.150003,-23.250005,0.05,99
"Dalatangi ",20,65.266672,-13.583345,0.05,100
"Gmo Im. E. K. Fedorova ",20,77.716681,104.300006,0.05,99
"Hornsund ",20,77,15.50001,0.05,94
"Julianehaab ",20,60.716681,-46.050001,0.05,93
"Narsarsuaq ",20,61.16667,-45.416675,0.05,95
"Ostrov Vrangelja ",20,70.983353,-178.650013,0.05,95
"PUVIRNITUQ",20,60.051,-77.287,0.05,91
"Stykkisholmur ",20,65.083335,-22.733348,0.05,97
"TALOYOAK",20,69.547,-93.577,0.05,95
"W POST-WILL ROGERS MEMORIAL AIRPORT",20,71.283,-156.782,0.05,98
"WHALE COVE AIRPORT",20,62.233,-92.6,0.05,86
