"station_names","wmo_id","ThunderstormDaysAmount","RecordCompleteness","ObservationYears","HeightASL","Lat","Lon"
"Karaul ","20978",25,0.862834549878346,10,28,70.083335,83.16667
"Kargopol ","22845",408,1.00027378507871,20,121,61.50001,38.933352
"Karpogory ","22671",129,0.610362257792755,12,60,63.983353,44.450009
"Kashkarantsy ","22334",9,0.540761861313869,11,3,66.33334,36.016667
"Katterjakk","02020",28,0.756736311239193,20,515,68.4166666666667,18.1666666666667
"Kauhava ","02913",87,0.968752516710961,20,42,63.100002,23.033334
"Kautokeino ","01047",101,0.854158110882957,20,305,69,23.033334
"Kedon","25621",1,0.819881440948472,6,683,64,158.916666666667
"Keflavikurflugvollur ","04018",17,1.00099247091034,20,52,63.966686,-22.600012
"Kellog ","23774",17,0.970396988364134,13,60,62.483343,86.266672
"Kem'","22522",12,0.924994296144193,7,8,64.95,34.65
"Kem'- Port","22522",10,0.924994296144193,7,10,64.9833333333333,34.8
"KENAI MUNICIPAL AIRPORT","70259",6,0.996441179820066,20,27.7,60.58,-151.239
"Kepino ","22456",97,0.797392554065152,10,68,65.366674,41.866684
"Kerbo ","23699",62,0.93912559890486,12,230,62.700014,101.100002
"Kevo ","02805",7,1.04305336542452,8,107,69.750015,27.033334
"Kharlovka","22133",1,0.13836399801094,6,64,68.7833333333333,37.3333333333333
"Kilpisjarvi ","02801",20,0.995195049617885,10,478,69.050001,20.783349
"King Sejong ","89251",1,0.900951698064011,20,10,-62.216671,-58.750015
"Kirkenes Lufthavn ","01089",28,0.964678823722688,20,9,69.733348,29.900018
"Kirkjubaejarklaustur ","04064",14,0.945379876796715,20,32,63.783349,-18.066668
"Kislokan ","24606",141,0.986308190191685,14,209,63.600012,103.983353
"Kjusjur ","21921",80,0.990453890489914,20,39,70.683347,127.400008
"Kogalym ","23748",150,0.960686173853525,8,67,62.233338,74.483343
"Kojnas ","22583",189,0.956348391512663,20,62,64.750015,47.650013
"Kolezma ","22529",108,0.907511978097194,8,6,64.233338,35.883351
"Koljmskaja ","25121",2,0.524706744868035,13,15,68.733348,158.733348
"Kolmyabr","22232",1,0.0437357630979499,5,244,67.7,37.1166666666667
"Kondopoga ","22727",83,0.946601941747573,14,40,62.16667,34.300006
"Konevo ","22749",179,0.556207233626588,10,100,62.133336,39.33334
"Korf","25954",3,0.95259528321752,13,3,60.35,166
"Korkodon ","25503",70,0.986245954692557,13,98,64.750015,153.966686
"Korliki ","23862",74,0.960643394934976,8,80,61.533344,82.416675
"Koslan ","22695",199,0.976043805612594,20,159,63.450009,48.900018
